cde_Pays;pays;cde_depense;depense_cat;depense_cat_courte;depense;depense_courte;annee;montant
HRV;Croatie;GF0204;02 - Defense;Defense;02.4 - R-D concernant la defense;R et D concernant la defense;2003;0
HRV;Croatie;GF0302;03 - Ordre et securite publics;Ordre et securite publics;03.2 - Services de protection civile;Services de protection civile;2003;0,11385
HRV;Croatie;GF0104;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.4 - Recherche fondamentale;Recherche fondamentale;2003;0,04621
HRV;Croatie;GF0904;09 - Enseignement;Enseignement;09.4 - Enseignement superieur;Enseignement superieur;2003;0,47633
HRV;Croatie;GF1004;10 - Protection sociale;Protection sociale;10.4 - Famille et enfants;Famille et enfants;2003;0,58401
HRV;Croatie;GF0907;09 - Enseignement;Enseignement;09.7 - R-D dans le domaine de l enseignement;RetD dans le domaine de l'enseignement;2003;0,04867
HRV;Croatie;GF1008;10 - Protection sociale;Protection sociale;10.8 - R-D dans le domaine de la protection sociale;RetD dans le domaine de la protection sociale;2003;0,00928
HRV;Croatie;GF0101;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.1 - Fonctionnement des organes executifs et legislatifs, affaires financieres et fiscales, affaires etrangeres;Organes executifs et legislatifs, affaires finan., fiscales et etrangeres;2003;0,36714
HRV;Croatie;GF0401;04 - Affaires economiques;Affaires economiques;04.1 - Tutelle de l economie generale, des echanges et de l emploi;Tutelle de l'economie generale, des echanges et de l'emploi;2003;0,36088
HRV;Croatie;GF0901;09 - Enseignement;Enseignement;09.1 - Enseignement preelementaire et primaire;Enseignement preelementaire et primaire;2003;0,82061
HRV;Croatie;GF0409;04 - Affaires economiques;Affaires economiques;04.9 - Affaires economiques n.c.a.;Affaires economiques n.c.a.;2003;0,09061
HRV;Croatie;GF1001;10 - Protection sociale;Protection sociale;10.1 - Maladie et invalidite;Maladie et invalidite;2003;0,81577
HRV;Croatie;GF0606;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.6 - Logement et equipements collectifs n.c.a.;Logement et equipements collectifs n.c.a.;2003;0,07825
