annee;cde_transaction;transaction;cde_pays;pays;cde_devise;devise;montant
2003;D2121;Droits sur les importations;AUT;Autriche;EUR;Euro;-1,3
2003;D214L;Autres impots sur les produits n.c.a.;AUT;Autriche;EUR;Euro;5,67
2003;D2;Impots sur la production et les importations;AUT;Autriche;EUR;Euro;34120,24
2003;D613CE;Cotisations sociales effectives obligatoires a la charge des salaries;AUT;Autriche;EUR;Euro;13421,23
2003;D51A;Impots sur le revenu des personnes physiques ou des menages non compris les gains de detention;AUT;Autriche;EUR;Euro;23579,49
2003;D29;Autres impots sur la production;AUT;Autriche;EUR;Euro;7495,78
2003;D51O;Impots sur le revenu des societes y compris les gains de detention;AUT;Autriche;EUR;Euro;5200,24
2003;D612;Cotisations sociales imputees a la charge des employeurs;AUT;Autriche;EUR;Euro;2635,33
2003;D613CN;Cotisations sociales effectives obligatoires a la charge des personnes n'occupant pas d'emploi;AUT;Autriche;EUR;Euro;2442,33
2003;D613V;Cotisations sociales effectives volontaires des menages;AUT;Autriche;EUR;Euro;210,18
2003;ODC;Produit total des impots et cotisations sociales nettes (y compris cotisations sociales imputees), apres deduction des montants dus non recouvrables;AUT;Autriche;EUR;Euro;101291,07
2003;D29H;Autres impots sur la production n.c.a.;AUT;Autriche;EUR;Euro;1268,66
2003;D51E;Autres impots sur le revenu n.c.a.;AUT;Autriche;EUR;Euro;642,02
2003;D51M;Impots sur le revenu des personnes physiques ou des menages y compris les gains de detention;AUT;Autriche;EUR;Euro;23579,49
2003;D5;Impots courants sur le revenu, le patrimoine, etc.;AUT;Autriche;EUR;Euro;31239,4
2003;D2122E;Impots sur des services determines;AUT;Autriche;EUR;Euro;22,54
2003;D91;Impots en capital;AUT;Autriche;EUR;Euro;157,01
2003;D29G;Sous-compensation de la TVA (regime forfaitaire);AUT;Autriche;EUR;Euro;32,72
2003;D214D;Taxes a l'immatriculation des vehicules;AUT;Autriche;EUR;Euro;144,46
2003;D29A;Impots sur les terrains, batiments et autres constructions;AUT;Autriche;EUR;Euro;577,46
2003;D21;Impots sur les produits;AUT;Autriche;EUR;Euro;26624,46
2004;D2122C;Droits d'accise;AUT;Autriche;EUR;Euro;0
2004;D51C;Impots sur les gains de detention;AUT;Autriche;EUR;Euro;0
2004;D6141;Supplements de cotisations de pension a la charge des menages;AUT;Autriche;EUR;Euro;0
