annee;cde_pays;pays;cde_mesure;mesure;cde_unite;unite;cde_domaine;domaine;valeur_mesuree
2018;BEL;Belgique;Deces dus au suicide, a  l alcool ou a  la drogue;Deces dus au suicide, a  l alcool ou a  la drogue;DT_10P5HB;Deces pour 100 000 d'habitants;HSL_5;Sante;23,17906523
2018;BEL;Belgique;Mortalite routiere;Mortalite routiere;DT_10P5HB;Deces pour 100 000 d'habitants;HSL_10;Securite;5,285701809
2018;BEL;Belgique;Homicides;Homicides;DT_10P5HB;Deces pour 100 000 d'habitants;HSL_10;Securite;1
2018;BEL;Belgique;Revenu disponible des menages inferieur au seuil de pauvrete monetaire relative;Revenu disponible des menages inferieur au seuil de pauvrete monetaire relative;PT_POP;Pourcentage de la population;HSL_1;Revenu et patrimoine;8,163958316
2018;BEL;Belgique;Surcharge financiere liee au coa»t du logement;Surcharge financiere liee au coa»t du logement;PT_POP;Pourcentage de la population;HSL_3;Logement;17,33706445
2018;BEL;Belgique;Exposition a  la pollution de l air;Exposition a  la pollution de l air;PT_POP;Pourcentage de la population;HSL_9;Qualite environnementale;99,962578
2018;BEL;Belgique;Exposition a  des temperatures extraªmes;Exposition a  des temperatures extraªmes;PT_POP;Pourcentage de la population;HSL_9;Qualite environnementale;0
2018;BEL;Belgique;Sentiment de solitude;Sentiment de solitude;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_7;Liens sociaux;6,659973646
2018;BEL;Belgique;Satisfaction a  l egard des relations personnelles inferieure a  5;Satisfaction a  l egard des relations personnelles inferieure a  5;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_7;Liens sociaux;2,690315606
2018;BEL;Belgique;Satisfaction a  l egard de l emploi du temps inferieure a  5;Satisfaction a  l egard de l emploi du temps inferieure a  5;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_4;Equilibre travail-vie;10,25445311
2018;BEL;Belgique;Satisfaction a  l egard de la vie inferieure a  5;Satisfaction a  l egard de la vie inferieure a  5;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_11;Bien-aªtre subjectif;3,39964282
2018;BEL;Belgique;Incapacite a  maintenir le logement a  bonne temperature;Incapacite a  maintenir le logement a  bonne temperature;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_3;Logement;5,2
2018;BEL;Belgique;Difficultes a  joindre les deuxÂ bouts;Difficultes a  joindre les deuxÂ bouts;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_1;Revenu et patrimoine;19,1
2018;BEL;Belgique;Etat de sante percu comme bon;Etat de sante percu comme bon;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_5;Sante;74,9
2018;BEL;Belgique;Etat de sante percu comme mauvais;Etat de sante percu comme mauvais;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_5;Sante;8,7
2018;BEL;Belgique;Bilan emotionnel negatif;Bilan emotionnel negatif;PT_POP_Y_GE15;Pourcentage de la population a¢gee de 15 ans ou plus;HSL_11;Bien-aªtre subjectif;14,45750913
2018;BEL;Belgique;Douleur physique;Douleur physique;PT_POP_Y_GE15;Pourcentage de la population a¢gee de 15 ans ou plus;HSL_11;Bien-aªtre subjectif;33
2018;BEL;Belgique;Sentiment d insecurite la nuit;Sentiment d insecurite la nuit;PT_POP_Y_GE15;Pourcentage de la population a¢gee de 15 ans ou plus;HSL_10;Securite;32
2018;BEL;Belgique;Sentiment de securite la nuit;Sentiment de securite la nuit;PT_POP_Y_GE15;Pourcentage de la population a¢gee de 15 ans ou plus;HSL_10;Securite;65,66666667
2018;BEL;Belgique;Soutien social;Soutien social;PT_POP_Y_GE15;Pourcentage de la population a¢gee de 15 ans ou plus;HSL_7;Liens sociaux;90,69981443
2018;BEL;Belgique;Manque de soutien social;Manque de soutien social;PT_POP_Y_GE15;Pourcentage de la population a¢gee de 15 ans ou plus;HSL_7;Liens sociaux;8,764922919
2018;BEL;Belgique;Satisfaction au travail;Satisfaction au travail;0_TO_10;Echelle 0-10;HSL_2;Travail et qualite de l'emploi;7,498692439
2018;BEL;Belgique;Salaries a  temps plein dont la remuneration est inferieure a  deuxÂ tiers du salaire brut median;Salaries a  temps plein dont la remuneration est inferieure a  deuxÂ tiers du salaire brut median;PT_SAL_FT;Pourcentage de salaries a  plein temps;HSL_2;Travail et qualite de l'emploi;9,2
2018;BEL;Belgique;Ecart de remuneration entre les genres;Ecart de remuneration entre les genres;PT_WG_SAL_M_D;Pourcentage du salaire des hommes dans le maªme decile;HSL_2;Travail et qualite de l'emploi;3,408756979
2018;BEL;Belgique;Decile superieur de la remuneration des salaries a  temps plein;Decile superieur de la remuneration des salaries a  temps plein;FCTR_D1_EARN;Facteur de decile des gains les plus bas;HSL_2;Travail et qualite de l'emploi;2,439387309
2018;BEL;Belgique;Jeunes sans emploi et sortis du systeme educatif;Jeunes sans emploi et sortis du systeme educatif;PT_POP_Y15T24;Pourcentage de la population a¢gee de 15 a  24 ans;HSL_2;Travail et qualite de l'emploi;9,4299498
2018;BEL;Belgique;Taux de chomage de longue duree;Taux de chomage de longue duree;PT_LF;Pourcentage des depenses de sante;HSL_2;Travail et qualite de l'emploi;2,922105271
2018;BEL;Belgique;Horaires de travail lourds;Horaires de travail lourds;PT_SAL;Pourcentage de salaries;HSL_2;Travail et qualite de l'emploi;4,56
2018;BEL;Belgique;Taux d emploi;Taux d emploi;PT_POP_Y25T64;Pourcentage de la population a¢gee de 25 a  64 ans;HSL_2;Travail et qualite de l'emploi;72,977
