annee;cde_age;cde_pays;pays;cde_mesure;mesure;cde_sexe;sexe;age;valeur_mesuree
2011;Y15T64;AUT;Autriche;PT;Pourcentage de la population;_T;Total;De 15 a 64 ans;67,681
2011;Y_LT15;AUT;Autriche;PS;Personnes;_T;Total;Moins de 15 ans;1228304,147
2011;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;_T;Total;Moins de 15 ans;14,649
2011;Y_LT15;AUT;Autriche;PS;Personnes;F;Sexe feminin;Moins de 15 ans;598797,7294
2011;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;Moins de 15 ans;13,928
2011;Y_LT15;AUT;Autriche;PS;Personnes;M;Sexe masculin;Moins de 15 ans;629519,1091
2011;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,408
2012;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2843433
2012;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;65,921
2012;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;876002
2012;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;20,309
2012;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2845584
2012;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;69,287
2012;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;636167
2012;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;65 ans et plus;15,49
2012;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1512169
2012;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;_T;Total;65 ans et plus;17,959
2012;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 a 64 ans;5689017
2012;Y15T64;AUT;Autriche;PT;Pourcentage de la population;_T;Total;De 15 a 64 ans;67,563
2012;Y_LT15;AUT;Autriche;PS;Personnes;_T;Total;Moins de 15 ans;1219179,291
2012;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;_T;Total;Moins de 15 ans;14,479
2012;Y_LT15;AUT;Autriche;PS;Personnes;F;Sexe feminin;Moins de 15 ans;593954,9046
2012;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;Moins de 15 ans;13,77
